categoria,fecha,casos
nuevos totales,2020-02-01,0
nuevos totales,2020-02-02,0
nuevos totales,2020-02-03,0
nuevos totales,2020-02-04,0
nuevos totales,2020-02-05,0
nuevos totales,2020-02-06,0
nuevos totales,2020-02-07,0
nuevos totales,2020-02-08,0
nuevos totales,2020-02-09,0
nuevos totales,2020-02-10,0
nuevos totales,2020-02-11,0
nuevos totales,2020-02-12,0
nuevos totales,2020-02-13,0
nuevos totales,2020-02-14,0
nuevos totales,2020-02-15,0
nuevos totales,2020-02-16,0
nuevos totales,2020-02-17,0
nuevos totales,2020-02-18,0
nuevos totales,2020-02-19,0
nuevos totales,2020-02-20,0
nuevos totales,2020-02-21,0
nuevos totales,2020-02-22,0
nuevos totales,2020-02-23,0
nuevos totales,2020-02-24,0
nuevos totales,2020-02-25,0
nuevos totales,2020-02-26,0
nuevos totales,2020-02-27,0
nuevos totales,2020-02-28,0
nuevos totales,2020-02-29,0
nuevos totales,2020-03-01,0
nuevos totales,2020-03-02,1
nuevos totales,2020-03-03,0
nuevos totales,2020-03-04,2
nuevos totales,2020-03-05,1
nuevos totales,2020-03-06,1
nuevos totales,2020-03-07,2
nuevos totales,2020-03-08,3
nuevos totales,2020-03-09,5
nuevos totales,2020-03-10,2
nuevos totales,2020-03-11,6
nuevos totales,2020-03-12,10
nuevos totales,2020-03-13,10
nuevos totales,2020-03-14,18
nuevos totales,2020-03-15,14
nuevos totales,2020-03-16,81
nuevos totales,2020-03-17,45
nuevos totales,2020-03-18,37
nuevos totales,2020-03-19,104
nuevos totales,2020-03-20,92
nuevos totales,2020-03-21,103
nuevos totales,2020-03-22,95
nuevos totales,2020-03-23,114
nuevos totales,2020-03-24,176
nuevos totales,2020-03-25,220
nuevos totales,2020-03-26,164
nuevos totales,2020-03-27,304
nuevos totales,2020-03-28,299
nuevos totales,2020-03-29,230
nuevos totales,2020-03-30,310
nuevos totales,2020-03-31,289
nuevos totales,2020-04-01,293
nuevos totales,2020-04-02,373
nuevos totales,2020-04-03,333
nuevos totales,2020-04-04,424
nuevos totales,2020-04-05,310
nuevos totales,2020-04-06,344
nuevos totales,2020-04-07,301
nuevos totales,2020-04-08,430
nuevos totales,2020-04-09,426
nuevos totales,2020-04-10,529
nuevos totales,2020-04-11,426
nuevos totales,2020-04-12,286
nuevos totales,2020-04-13,312
nuevos totales,2020-04-14,392
nuevos totales,2020-04-15,356
nuevos totales,2020-04-16,534
nuevos totales,2020-04-17,445
nuevos totales,2020-04-18,478
nuevos totales,2020-04-19,358
nuevos totales,2020-04-20,419
nuevos totales,2020-04-21,325
nuevos totales,2020-04-22,464
nuevos totales,2020-04-23,516
nuevos totales,2020-04-24,494
nuevos totales,2020-04-25,552
nuevos totales,2020-04-26,473
nuevos totales,2020-04-27,482
nuevos totales,2020-04-28,552
nuevos totales,2020-04-29,770
nuevos totales,2020-04-30,888
nuevos totales,2020-05-01,985
nuevos totales,2020-05-02,1427
nuevos totales,2020-05-03,1228
nuevos totales,2020-05-04,980
nuevos totales,2020-05-05,1373
nuevos totales,2020-05-06,1032
nuevos totales,2020-05-07,1533
nuevos totales,2020-05-08,1391
nuevos totales,2020-05-09,1247
nuevos totales,2020-05-10,1647
nuevos totales,2020-05-11,1197
nuevos totales,2020-05-12,1658
nuevos totales,2020-05-13,2660
nuevos totales,2020-05-14,2659
nuevos totales,2020-05-15,2502
nuevos totales,2020-05-16,1886
nuevos totales,2020-05-17,2353
nuevos totales,2020-05-18,2278
nuevos totales,2020-05-19,3520
nuevos totales,2020-05-20,4038
nuevos totales,2020-05-21,3964
nuevos totales,2020-05-22,4276
nuevos totales,2020-05-23,3536
nuevos totales,2020-05-24,3709
nuevos totales,2020-05-25,4895
nuevos totales,2020-05-26,3964
nuevos totales,2020-05-27,4328
nuevos totales,2020-05-28,4654
nuevos totales,2020-05-29,3695
nuevos totales,2020-05-30,4220
nuevos totales,2020-05-31,4830
nuevos totales,2020-06-01,5471
nuevos totales,2020-06-02,3527
nuevos totales,2020-06-03,4942
nuevos totales,2020-06-04,4664
nuevos totales,2020-06-05,4207
nuevos totales,2020-06-06,5246
nuevos totales,2020-06-07,6405
nuevos totales,2020-06-08,4696
nuevos totales,2020-06-09,3913
nuevos totales,2020-06-10,5737
nuevos totales,2020-06-11,5596
nuevos totales,2020-06-12,6754
nuevos totales,2020-06-13,6509
nuevos totales,2020-06-14,6938
nuevos totales,2020-06-15,5143
nuevos totales,2020-06-16,5013
nuevos totales,2020-06-17,4757
nuevos totales,2020-06-18,4475
nuevos totales,2020-06-19,6290
nuevos totales,2020-06-20,5355
nuevos totales,2020-06-21,5607
nuevos totales,2020-06-22,4608
nuevos totales,2020-06-23,3804
nuevos totales,2020-06-24,3649
nuevos totales,2020-06-25,4648
nuevos totales,2020-06-26,4296
nuevos totales,2020-06-27,4406
nuevos totales,2020-06-28,4216
nuevos totales,2020-06-29,4017
nuevos totales,2020-06-30,3394
nuevos totales,2020-07-01,2650
nuevos totales,2020-07-02,2498
nuevos totales,2020-07-03,3548
nuevos totales,2020-07-04,3758
nuevos totales,2020-07-05,3685
nuevos totales,2020-07-06,3025
nuevos totales,2020-07-07,2462
nuevos totales,2020-07-08,2064
nuevos totales,2020-07-09,3133
nuevos totales,2020-07-10,3058
nuevos totales,2020-07-11,2755
nuevos totales,2020-07-12,3012
nuevos totales,2020-07-13,2616
nuevos totales,2020-07-14,1836
nuevos totales,2020-07-15,1712
nuevos totales,2020-07-16,2475
nuevos totales,2020-07-17,2840
nuevos totales,2020-07-18,2185
nuevos totales,2020-07-19,2082
nuevos totales,2020-07-20,2099
nuevos totales,2020-07-21,1656
nuevos totales,2020-07-22,1741
nuevos totales,2020-07-23,2371
nuevos totales,2020-07-24,2545
nuevos totales,2020-07-25,2287
nuevos totales,2020-07-26,2198
nuevos totales,2020-07-27,2133
nuevos totales,2020-07-28,1876
nuevos totales,2020-07-29,1773
nuevos totales,2020-07-30,1948
nuevos totales,2020-07-31,2123
nuevos totales,2020-08-01,1979
nuevos totales,2020-08-02,2081
nuevos totales,2020-08-03,1762
nuevos totales,2020-08-04,1462
nuevos totales,2020-08-05,1781
nuevos totales,2020-08-06,1947
nuevos totales,2020-08-07,2149
nuevos totales,2020-08-08,2201
nuevos totales,2020-08-09,2036
nuevos totales,2020-08-10,1988
nuevos totales,2020-08-11,1566
nuevos totales,2020-08-12,1540
nuevos totales,2020-08-13,1852
nuevos totales,2020-08-14,2077
nuevos totales,2020-08-15,1777
nuevos totales,2020-08-16,2086
nuevos totales,2020-08-17,1556
nuevos totales,2020-08-18,1336
nuevos totales,2020-08-19,1233
nuevos totales,2020-08-20,1813
nuevos totales,2020-08-21,1920
nuevos totales,2020-08-22,1926
nuevos totales,2020-08-23,1942
nuevos totales,2020-08-24,1903
nuevos totales,2020-08-25,1406
nuevos totales,2020-08-26,1371
nuevos totales,2020-08-27,1739
nuevos totales,2020-08-28,1868
nuevos totales,2020-08-29,2033
nuevos totales,2020-08-30,1966
nuevos totales,2020-08-31,1753
nuevos totales,2020-09-01,1415
nuevos totales,2020-09-02,1582
nuevos totales,2020-09-03,1758
nuevos totales,2020-09-04,1965
nuevos totales,2020-09-05,1961
nuevos totales,2020-09-06,2077
nuevos totales,2020-09-07,1764
nuevos totales,2020-09-08,1263
nuevos totales,2020-09-09,1482
nuevos totales,2020-09-10,1639
nuevos totales,2020-09-11,1860
nuevos totales,2020-09-12,2135
nuevos totales,2020-09-13,2082
nuevos totales,2020-09-14,1685
nuevos totales,2020-09-15,1536
nuevos totales,2020-09-16,1305
nuevos totales,2020-09-17,1860
nuevos totales,2020-09-18,1673
nuevos totales,2020-09-19,1848
nuevos totales,2020-09-20,1600
nuevos totales,2020-09-21,1194
nuevos totales,2020-09-22,1054
nuevos totales,2020-09-23,1372
nuevos totales,2020-09-24,1731
nuevos totales,2020-09-25,2222
nuevos totales,2020-09-26,2109
nuevos totales,2020-09-27,1923
nuevos totales,2020-09-28,1770
nuevos totales,2020-09-29,1622
nuevos totales,2020-09-30,1684
nuevos totales,2020-10-01,1760
nuevos totales,2020-10-02,1839
nuevos totales,2020-10-03,1880
nuevos totales,2020-10-04,1708
nuevos totales,2020-10-05,1567
nuevos totales,2020-10-06,1554
nuevos totales,2020-10-07,1131
nuevos totales,2020-10-08,1575
nuevos totales,2020-10-09,1750
nuevos totales,2020-10-10,1824
nuevos totales,2020-10-11,1776
nuevos totales,2020-10-12,1517
nuevos totales,2020-10-13,1392
nuevos totales,2020-10-14,1089
nuevos totales,2020-10-15,1122
nuevos totales,2020-10-16,1689
nuevos totales,2020-10-17,1811
nuevos totales,2020-10-18,1759
nuevos totales,2020-10-19,1545
nuevos totales,2020-10-20,1099
nuevos totales,2020-10-21,1152
nuevos totales,2020-10-22,1495
nuevos totales,2020-10-23,1773
nuevos totales,2020-10-24,1631
nuevos totales,2020-10-25,1540
nuevos totales,2020-10-26,1505
nuevos totales,2020-10-27,922
nuevos totales,2020-10-28,1004
nuevos totales,2020-10-29,1519
nuevos totales,2020-10-30,1529
nuevos totales,2020-10-31,1686
nuevos totales,2020-11-01,1607
nuevos totales,2020-11-02,1314
nuevos totales,2020-11-03,1009
nuevos totales,2020-11-04,846
nuevos totales,2020-11-05,1540
